model,EELV,LFI,LR,PCF,PS,RN,Reconquête,Renaissance
tfidf_logreg,0.5413105413105413,0.5608465608465608,0.5606469002695418,0.5079365079365079,0.5497076023391813,0.5519125683060109,0.6613756613756614,0.6223404255319149
fasttext,0.5279187817258884,0.592814371257485,0.5515320334261838,0.5098039215686274,0.5318559556786704,0.5117493472584856,0.6894586894586895,0.6457142857142857
camembert_ablation,0.588957055214724,0.5255102040816326,0.5925925925925926,0.5621621621621622,0.5601965601965602,0.5122615803814714,0.6718346253229974,0.6647058823529411
camembert_ftV6,0.5828220858895705,0.5984251968503937,0.6124401913875598,0.5786802030456852,0.5597667638483965,0.5692307692307692,0.7257142857142858,0.6745562130177515
