,precision,recall,f1-score,support
EELV,0.6938775510204082,0.4892086330935252,0.5738396624472574,139.0
LFI,0.6333333333333333,0.5428571428571428,0.5846153846153846,140.0
LR,0.5163043478260869,0.6785714285714286,0.5864197530864198,140.0
PCF,0.5496688741721855,0.5971223021582733,0.5724137931034483,139.0
PS,0.5793650793650794,0.5251798561151079,0.5509433962264151,139.0
RN,0.5108695652173914,0.6714285714285714,0.5802469135802469,140.0
Reconquête,0.71875,0.6618705035971223,0.6891385767790262,139.0
Renaissance,0.7016129032258065,0.6258992805755396,0.6615969581749049,139.0
accuracy,0.5991031390134529,0.5991031390134529,0.5991031390134529,0.5991031390134529
macro avg,0.6129727067700363,0.5990172147995889,0.5999018047516379,1115.0
weighted avg,0.6128126970176299,0.5991031390134529,0.5998583757265502,1115.0
