,precision,recall,f1-score,support
EELV,0.7906976744186046,0.7727272727272727,0.7816091954022989,44.0
LFI,0.5833333333333334,0.6363636363636364,0.6086956521739131,44.0
LR,0.7959183673469388,0.8666666666666667,0.8297872340425532,45.0
PCF,0.6511627906976745,0.6363636363636364,0.6436781609195402,44.0
PS,0.7619047619047619,0.7111111111111111,0.735632183908046,45.0
RN,0.625,0.6818181818181818,0.6521739130434783,44.0
Reconquête,0.8372093023255814,0.8181818181818182,0.8275862068965517,44.0
Renaissance,0.9230769230769231,0.8,0.8571428571428571,45.0
accuracy,0.7408450704225352,0.7408450704225352,0.7408450704225352,0.7408450704225352
macro avg,0.7460378941379772,0.7404040404040404,0.7420381754411547,355.0
weighted avg,0.7467217994053426,0.7408450704225352,0.7425915493813521,355.0
