,precision,recall,f1-score,support
EELV,0.7010309278350515,0.4892086330935252,0.576271186440678,139.0
LFI,0.6341463414634146,0.5571428571428572,0.5931558935361216,140.0
LR,0.48404255319148937,0.65,0.5548780487804879,140.0
PCF,0.5838926174496645,0.6258992805755396,0.6041666666666666,139.0
PS,0.6016949152542372,0.5107913669064749,0.5525291828793775,139.0
RN,0.48663101604278075,0.65,0.5565749235474006,140.0
Reconquête,0.732824427480916,0.6906474820143885,0.7111111111111111,139.0
Renaissance,0.6721311475409836,0.5899280575539568,0.6283524904214559,139.0
accuracy,0.5955156950672645,0.5955156950672645,0.5955156950672645,0.5955156950672645
macro avg,0.6120492432823172,0.5954522096608428,0.5971299379229125,1115.0
weighted avg,0.6118417743862191,0.5955156950672645,0.5970521074763612,1115.0
