,precision,recall,f1-score,support
EELV,0.6041666666666666,0.4915254237288136,0.5420560747663551,59.0
LFI,0.6666666666666666,0.32142857142857145,0.43373493975903615,56.0
LR,0.4028776978417266,0.717948717948718,0.5161290322580645,78.0
PCF,0.49295774647887325,0.5384615384615384,0.5147058823529411,65.0
PS,0.574468085106383,0.5567010309278351,0.5654450261780105,97.0
RN,0.5789473684210527,0.20754716981132076,0.3055555555555556,53.0
Reconqu̻te,0.6129032258064516,0.6666666666666666,0.6386554621848739,57.0
Renaissance,0.6346153846153846,0.6666666666666666,0.6502463054187192,99.0
accuracy,0.5443262411347518,0.5443262411347518,0.5443262411347518,0.5443262411347518
macro avg,0.5709503552004006,0.5208682232050164,0.5208160348091946,564.0
weighted avg,0.5684679119662656,0.5443262411347518,0.535114839488464,564.0
