,precision,recall,f1-score,support
EELV,0.6818181818181818,0.625,0.6521739130434783,24.0
LFI,1.0,0.5,0.6666666666666666,14.0
LR,0.6190476190476191,0.9285714285714286,0.7428571428571429,28.0
PCF,0.7741935483870968,0.8888888888888888,0.8275862068965517,27.0
PS,0.7692307692307693,0.6896551724137931,0.7272727272727273,29.0
RN,0.0,0.0,0.0,12.0
Reconqu̻te,0.6875,0.8461538461538461,0.7586206896551724,13.0
Renaissance,0.8292682926829268,0.8292682926829268,0.8292682926829268,41.0
accuracy,0.7287234042553191,0.7287234042553191,0.7287234042553191,0.7287234042553191
macro avg,0.6701323013958241,0.6634422035888604,0.6505557048843333,188.0
weighted avg,0.7119435521867744,0.7287234042553191,0.7078899621755853,188.0
